Salinity,Water,Sediment salinity,Sediment water content,E-0.5h,E-1h,E-1.5h,E-2h,I-0.5h,I-1h,I-1.5h,I-2h,,Salinity,Time,QC,QR,QC,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,1.5,0.55,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,1.5,0.5,0.15,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,1.5,0.5,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,1.5,0.45,0.1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,1.5,0.35,0.15,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,1.5,0.45,0.15,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,1.5,0.6,0.1,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,1.5,0.15,0.05,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,1.5,0.75,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,1.5,0.55,0.25,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,1.5,0.4,0.2,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,2,0.4,0.2,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,2,0.6,0.2,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,2,0.8,0.2,16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,2,0.4,0.1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,2,0.6,0.1,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-15,2,0.7,0.1,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,2,0.65,0.05,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,2,0.65,0.25,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,2,0.8,0.65,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,2,0.2,0.15,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,2,0.4,0.2,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-10,2,0.4,0.2,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,2,0.65,0.05,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,2,0.5,0.35,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,2,0.6,0.3,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,2,0.35,0.05,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,2,0.5,0.1,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-5,2,0.4,0.15,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,2,0.3,0.2,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,2,0.35,0.2,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,2,0.4,0.3,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,2,0.25,0.25,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,2,0.45,0.2,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,2,0.15,0.2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,2,0.7,0.05,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,2,0.65,0.05,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,2,0.4,0.05,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,2,0.25,0.1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,2,0.25,0.1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5,2,0.5,0.2,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,2,0.5,0.15,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,2,0.55,0.05,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,2,0.5,0.15,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,2,0.45,0.1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,2,0.6,0.1,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,10,2,0.45,0.15,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,2,0.45,0.1,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,2,0.6,0.1,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,2,0.4,0.05,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,15,2,0.8,0.05,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
